,problem,f_val_opt,f_evals,comp_budget,success_crit_x,success_crit_f,6,7
0,camel_3,1.1073886327592533e-139,504,500,3.4825530355803404e-70,1.1073886327592533e-139,3.901527556452888e-71,-3.4825530355803404e-70
1,camel_3,4.8645570194556583e-141,499,500,5.5512842034362824e-71,4.8645570194556583e-141,4.680305555427811e-71,-5.5512842034362824e-71
2,camel_3,2.668748870080793e-140,502,500,1.0546385777657099e-70,2.668748870080793e-140,1.0546385777657099e-70,3.22556845083357e-71
3,camel_3,4.8035598677346475e-139,405,500,4.6950620213715474e-70,4.8035598677346475e-139,-4.6950620213715474e-70,-7.280641763352491e-71
4,camel_3,9.859372001641961e-142,502,500,3.273245541356826e-71,9.859372001641961e-142,1.3105017318420427e-71,-3.273245541356826e-71
5,camel_3,1.4983386492556375e-140,500,500,7.678539798933071e-71,1.4983386492556375e-140,7.678539798933071e-71,2.9910969573659213e-71
6,camel_3,9.418892894875711e-139,500,500,7.116391124441926e-70,9.418892894875711e-139,7.116391124441926e-70,-5.916932371552265e-70
7,camel_3,2.694562907564031e-141,501,500,4.944372640209121e-71,2.694562907564031e-141,-4.3043929853468927e-72,-4.944372640209121e-71
8,camel_3,1.4476652320851195e-139,500,500,3.2874823312488754e-70,1.4476652320851195e-139,-7.624360087857974e-71,-3.2874823312488754e-70
9,camel_3,6.399135465301586e-140,476,500,2.415648682009853e-70,6.399135465301586e-140,-1.4080255735022012e-70,2.415648682009853e-70
10,camel_3,1.0280539067720816e-139,501,500,3.281935488025694e-70,1.0280539067720816e-139,1.6633324386192963e-71,-3.281935488025694e-70
11,camel_3,6.341786290925846e-140,374,500,2.335370301755108e-70,6.341786290925846e-140,-1.4697252286147125e-70,2.335370301755108e-70
12,camel_3,2.2189491228946112e-141,502,500,4.911391195146127e-71,2.2189491228946112e-141,-1.963697033058427e-71,4.911391195146127e-71
13,camel_3,2.3508411275190927e-140,500,500,1.623212072282788e-70,2.3508411275190927e-140,-5.564281734483477e-71,1.623212072282788e-70
14,camel_3,1.0360967425696978e-140,411,500,6.3601740640492656e-71,1.0360967425696978e-140,6.3601740640492656e-71,2.5486998847851654e-71
15,camel_3,4.7785998559018275e-140,501,500,1.3299768428606943e-70,4.7785998559018275e-140,1.3299768428606943e-70,6.323676019675684e-71
16,camel_3,1.9217352074268865e-139,500,500,3.204094930158714e-70,1.9217352074268865e-139,-3.204094930158714e-70,4.833609532725373e-71
17,camel_3,9.012524262129387e-140,501,500,2.264522315579664e-70,9.012524262129387e-140,2.264522315579664e-70,-1.328263596683814e-70
18,camel_3,2.4878909376060047e-140,501,500,1.1510290572361362e-70,2.4878909376060047e-140,-1.1510290572361362e-70,9.870629814795319e-71
19,camel_3,1.704261915942709e-140,445,500,9.822881892265536e-71,1.704261915942709e-140,-9.822881892265536e-71,6.164607504425839e-71
20,camel_3,2.6132065906183027e-142,483,500,9.724330754822994e-72,2.6132065906183027e-142,-9.724330754822994e-72,-4.927425725425061e-72
21,camel_3,1.470324425743195e-138,501,500,8.883206682991071e-70,1.470324425743195e-138,-4.023595887190644e-70,-8.883206682991071e-70
22,camel_3,1.5423382817566331e-139,505,500,3.669039678339878e-70,1.5423382817566331e-139,2.267123278686176e-70,-3.669039678339878e-70
