,problem,f_val_opt,f_evals,comp_budget,success_crit_x,success_crit_f,6,7
0,camel_3,9.057457620046194e-138,500,500,3.216845944816684e-69,9.057457620046194e-138,-7.663167870491803e-70,3.216845944816684e-69
1,camel_3,1.0608808861109916e-139,500,500,2.380057425387671e-70,1.0608808861109916e-139,2.380057425387671e-70,-3.5598404850630814e-71
2,camel_3,9.47369422858176e-140,500,500,2.9329375650154235e-70,9.47369422858176e-140,1.7198540781996373e-70,-2.9329375650154235e-70
3,camel_3,4.603234094910441e-139,500,500,3.488211570355253e-70,4.603234094910441e-139,-3.488211570355253e-70,-3.229726341047982e-70
4,camel_3,1.4912024738930387e-139,500,500,4.076332654360282e-70,1.4912024738930387e-139,5.874595900031215e-71,-4.076332654360282e-70
5,camel_3,2.9540075485616103e-140,500,500,1.2963625057611739e-70,2.9540075485616103e-140,-1.2963625057611739e-70,5.340103614034779e-71
6,camel_3,3.700284760727026e-140,500,500,1.3549730975062525e-70,3.700284760727026e-140,-1.3549730975062525e-70,-2.0631345686681951e-72
7,camel_3,3.8529587146519186e-139,500,500,6.635291988671522e-70,3.8529587146519186e-139,-1.7130209835546618e-70,6.635291988671522e-70
8,camel_3,4.062085885003724e-139,500,500,4.778483606950446e-70,4.062085885003724e-139,4.778483606950446e-70,-3.202583110505978e-70
9,camel_3,1.3051666274985467e-140,500,500,7.867847996575305e-71,1.3051666274985467e-140,7.867847996575305e-71,7.763155476091486e-72
10,camel_3,1.729035960979367e-138,500,500,9.334864864747299e-70,1.729035960979367e-138,-9.334864864747299e-70,1.4978730216223777e-71
11,camel_3,1.0877981688356681e-139,500,500,1.7189063679660714e-70,1.0877981688356681e-139,1.7189063679660714e-70,1.5295556607361788e-70
12,camel_3,2.216704167290444e-139,500,500,5.032782017901517e-70,2.216704167290444e-139,1.3043403208455874e-70,-5.032782017901517e-70
13,camel_3,1.9667138592124616e-141,500,500,3.0543793430741292e-71,1.9667138592124616e-141,-1.6347441276758983e-71,-3.0543793430741292e-71
14,camel_3,2.5552961323461293e-139,500,500,4.2031519121568795e-70,2.5552961323461293e-139,3.2974283671955224e-70,-4.2031519121568795e-70
15,camel_3,1.5733147198086744e-138,500,500,8.532153721749771e-70,1.5733147198086744e-138,-8.532153721749771e-70,-1.2052657075101911e-70
16,camel_3,3.603090577108239e-137,500,500,4.308839566632145e-69,3.603090577108239e-137,4.308839566632145e-69,-4.0359706202260607e-69
17,camel_3,1.0951661484103018e-139,500,500,2.4927467155569412e-70,1.0951661484103018e-139,-2.4927467155569412e-70,1.5248256072632983e-70
18,camel_3,1.9043210171118384e-140,500,500,1.0089439744945897e-70,1.9043210171118384e-140,9.641345349908554e-71,-1.0089439744945897e-70
19,camel_3,8.976539493114183e-141,500,500,6.848481868386178e-71,8.976539493114183e-141,-6.848481868386178e-71,6.196859390331063e-71
20,camel_3,1.1230685140342358e-140,500,500,7.866972881102507e-71,1.1230685140342358e-140,-7.866972881102507e-71,5.933647023459428e-71
21,camel_3,1.356548759952805e-138,500,500,8.23984347094544e-70,1.356548759952805e-138,-8.23984347094544e-70,8.223406870127976e-70
22,camel_3,1.4785222141368243e-138,500,500,9.15906194735442e-70,1.4785222141368243e-138,9.15906194735442e-70,-3.556059507734028e-70
23,camel_3,2.2984273582681385e-140,500,500,1.619059823098554e-70,2.2984273582681385e-140,-3.560721105984307e-71,1.619059823098554e-70
24,camel_3,4.225605231609634e-141,500,500,6.666251312071807e-71,4.225605231609634e-141,-2.9650252032640805e-71,6.666251312071807e-71
25,camel_3,2.847334130068743e-140,500,500,9.244217687068765e-71,2.847334130068743e-140,-7.934915455255157e-71,-9.244217687068765e-71
26,camel_3,6.227256451425778e-139,500,500,7.628533393307823e-70,6.227256451425778e-139,-4.289606642830672e-70,7.628533393307823e-70
27,camel_3,1.220935706852719e-140,500,500,7.511599215378825e-71,1.220935706852719e-140,-4.152127694407358e-71,-7.511599215378825e-71
28,camel_3,6.816535297928734e-140,500,500,2.4726546842761233e-70,6.816535297928734e-140,1.4745417297309635e-70,-2.4726546842761233e-70
29,camel_3,1.879482097133029e-139,500,500,4.343251569697228e-70,1.879482097133029e-139,-1.6007758682059558e-72,4.343251569697228e-70
30,camel_3,9.450126462579231e-139,500,500,6.966502507267053e-70,9.450126462579231e-139,-3.3591403494854204e-70,-6.966502507267053e-70
31,camel_3,4.938273092969214e-139,500,500,6.948980617961366e-70,4.938273092969214e-139,3.625424271323508e-70,-6.948980617961366e-70
32,camel_3,5.392193017869413e-140,500,500,2.134664098766552e-70,5.392193017869413e-140,1.3718190701215735e-70,-2.134664098766552e-70
33,camel_3,8.690751842509063e-140,500,500,1.54356672656482e-70,8.690751842509063e-140,-1.4315210924790252e-70,-1.54356672656482e-70
34,camel_3,3.6819530802472416e-140,500,500,1.44246477146563e-70,3.6819530802472416e-140,1.44246477146563e-70,-9.230243594044771e-71
35,camel_3,2.0628919937959334e-139,500,500,4.626524493044279e-70,2.0628919937959334e-139,-2.1312546823373514e-70,4.626524493044279e-70
36,camel_3,1.3082502765374783e-139,500,500,3.8665615426977183e-70,1.3082502765374783e-139,9.443707613012531e-71,-3.8665615426977183e-70
37,camel_3,8.152877868463336e-139,500,500,6.82044249336382e-70,8.152877868463336e-139,6.82044249336382e-70,-3.061629758850778e-70
38,camel_3,2.768516073900093e-140,500,500,1.5762560775343108e-70,2.768516073900093e-140,-9.392730410815515e-71,1.5762560775343108e-70
39,camel_3,5.317320636080972e-142,500,500,1.4667403466630218e-71,5.317320636080972e-142,9.438318527741656e-72,1.4667403466630218e-71
40,camel_3,2.4018440219004898e-138,500,500,1.6281043189311128e-69,2.4018440219004898e-138,6.100787917851106e-70,-1.6281043189311128e-69
41,camel_3,3.343724836323701e-138,500,500,9.591637234589967e-70,3.343724836323701e-138,9.591637234589967e-70,8.37131281526913e-70
42,camel_3,1.204188616981015e-140,500,500,1.1496919489083281e-70,1.204188616981015e-140,1.3311649551421836e-71,-1.1496919489083281e-70
43,camel_3,4.029704079376942e-142,500,500,1.517405110317142e-71,4.029704079376942e-142,-1.517405110317142e-71,7.759394037084286e-72
44,camel_3,1.6851770212859216e-140,500,500,1.3207665780288433e-70,1.6851770212859216e-140,4.840652082903171e-72,-1.3207665780288433e-70
45,camel_3,3.9087600160319634e-140,500,500,1.5864371662420536e-70,3.9087600160319634e-140,-5.271263291400501e-71,-1.5864371662420536e-70
46,camel_3,4.7704699110411083e-138,500,500,1.4744624191601718e-69,4.7704699110411083e-138,1.4744624191601718e-69,2.4557137303185087e-70
47,camel_3,4.162055274115074e-140,500,500,1.938788867191177e-70,4.162055274115074e-140,-1.1453846567093166e-70,1.938788867191177e-70
48,camel_3,2.668476692837988e-140,500,500,1.0929420880774537e-70,2.668476692837988e-140,-1.0929420880774537e-70,-2.138331575993772e-71
49,camel_3,9.743694673000946e-138,500,500,1.7785854813604968e-69,9.743694673000946e-138,-1.7785854813604968e-69,-1.1620004179430705e-69
50,camel_3,6.281192145073639e-139,500,500,8.261167175539565e-70,6.281192145073639e-139,-8.211256602233599e-71,8.261167175539565e-70
51,camel_3,8.142239734096416e-141,500,500,6.760141709947753e-71,8.142239734096416e-141,6.760141709947753e-71,-2.1766405709701273e-71
52,camel_3,1.1909836638417661e-139,500,500,2.5002124949752905e-70,1.1909836638417661e-139,1.1694045845055129e-70,2.5002124949752905e-70
53,camel_3,5.5764553590185e-139,500,500,5.176543488391616e-70,5.5764553590185e-139,5.176543488391616e-70,3.900665907769234e-71
54,camel_3,9.49441831553852e-140,500,500,3.1978614985516583e-70,9.49441831553852e-140,2.767848210923751e-71,-3.1978614985516583e-70
55,camel_3,2.447470652404842e-139,500,500,3.7910351299729694e-70,2.447470652404842e-139,-3.3869443624507613e-70,3.7910351299729694e-70
56,camel_3,4.290754869466628e-139,500,500,6.83843054812383e-70,4.290754869466628e-139,-7.123782556090466e-71,6.83843054812383e-70
57,camel_3,1.8456431593052538e-137,500,500,2.4163830405152594e-69,1.8456431593052538e-137,-2.4163830405152594e-69,-1.6620600968824844e-69
58,camel_3,4.4902019220827645e-141,500,500,7.037082908942269e-71,4.4902019220827645e-141,-8.728311249737494e-72,7.037082908942269e-71
59,camel_3,9.602192412708667e-141,500,500,8.478198619157809e-71,9.602192412708667e-141,-6.189380964526593e-71,8.478198619157809e-71
60,camel_3,3.6232046725308063e-138,500,500,1.3784807294676847e-69,3.6232046725308063e-138,-1.3784807294676847e-69,1.4349435248846946e-70
61,camel_3,2.7060377931820594e-140,500,500,1.2368927986375524e-70,2.7060377931820594e-140,-1.2368927986375524e-70,7.878752970002087e-71
62,camel_3,1.797193311474897e-140,500,500,1.4329964497704536e-70,1.797193311474897e-140,3.72379568061829e-71,-1.4329964497704536e-70
