,problem,f_val_opt,f_evals,comp_budget,success_crit_x,success_crit_f,6,7
0,camel_3,3.2632057691930005e-140,500,500,1.2338796635466563e-70,3.2632057691930005e-140,-1.2338796635466563e-70,-1.5694806514293947e-71
1,camel_3,1.2044722532887962e-140,500,500,1.0829937638668797e-70,1.2044722532887962e-140,2.775298054251191e-72,1.0829937638668797e-70
2,camel_3,6.192587594713627e-140,500,500,1.308582492853295e-70,6.192587594713627e-140,1.2048870088945487e-70,1.308582492853295e-70
3,camel_3,2.062509309865409e-140,500,500,1.4665647196757854e-70,2.062509309865409e-140,-6.670981173429374e-71,1.4665647196757854e-70
4,camel_3,1.4626924609936231e-140,500,500,8.960704461150873e-71,1.4626924609936231e-140,3.9247164107132136e-71,8.960704461150873e-71
5,camel_3,3.0178306083025298e-139,500,500,3.996430997518557e-70,3.0178306083025298e-139,-3.996430997518557e-70,3.49094783466306e-70
6,camel_3,5.988735309234465e-141,500,500,7.135324293048778e-71,5.988735309234465e-141,9.855196558116903e-72,7.135324293048778e-71
7,camel_3,1.078144923595777e-139,500,500,2.4779898643521447e-70,1.078144923595777e-139,-2.4779898643521447e-70,1.05007658406812e-70
8,camel_3,1.4496316489655103e-139,500,500,2.6173851324954402e-70,1.4496316489655103e-139,1.4074429488689437e-70,2.6173851324954402e-70
9,camel_3,4.1887250505212074e-139,500,500,4.1141541718721075e-70,4.1887250505212074e-139,4.1141541718721075e-70,1.4452489329876436e-70
10,camel_3,7.256297714856476e-141,500,500,6.4287261928213985e-71,7.256297714856476e-141,-6.4287261928213985e-71,3.702283519836381e-71
11,camel_3,3.3768758686363813e-140,500,500,9.207351422951434e-71,3.3768758686363813e-140,-9.17660240559835e-71,-9.207351422951434e-71
12,camel_3,8.938051184995755e-138,500,500,3.1399607458291434e-69,8.938051184995755e-138,-3.905812075303767e-70,3.1399607458291434e-69
13,camel_3,2.4733693707613004e-139,500,500,4.8506881552359605e-70,2.4733693707613004e-139,-2.2706145661383698e-71,-4.8506881552359605e-70
14,camel_3,1.8939657456880067e-139,500,500,3.285427860678184e-70,1.8939657456880067e-139,-3.285427860678184e-70,1.866530950177431e-70
15,camel_3,3.240004917282376e-138,500,500,1.3587488947518288e-69,3.240004917282376e-138,1.3587488947518288e-69,-5.83679938384687e-70
16,camel_3,9.54834325595036e-139,500,500,1.0413347228509347e-69,9.54834325595036e-139,-2.055451271322545e-70,1.0413347228509347e-69
17,camel_3,5.271042458986152e-141,500,500,5.299596788336221e-71,5.271042458986152e-141,5.299596788336221e-71,-4.536701645983169e-71
18,camel_3,2.398837801970404e-139,500,500,3.2000734484555605e-70,2.398837801970404e-139,-1.941146235610274e-70,-3.2000734484555605e-70
19,camel_3,2.2755482418392322e-138,500,500,8.628212783409383e-70,2.2755482418392322e-138,-6.85445404011012e-70,-8.628212783409383e-70
20,camel_3,1.3019280879546066e-139,500,500,2.7341628972080005e-70,1.3019280879546066e-139,2.4832754234501584e-70,-2.7341628972080005e-70
21,camel_3,1.7603944905540117e-141,500,500,2.9031038184487194e-71,1.7603944905540117e-141,2.9031038184487194e-71,2.3810021157741343e-72
22,camel_3,9.930517823523645e-141,500,500,1.041424721432028e-70,9.930517823523645e-141,-4.087762147937424e-71,1.041424721432028e-70
