,problem,f_val_opt,f_evals,comp_budget,success_crit_x,success_crit_f,6,7,8,9,10,11,12,13,14,15
0,Griewank Function,1.00000000008965,500,500,1.8121510430810545e-05,8.965006514927154e-11,-2.4509926900215768e-06,-1.4029640031724384e-05,-4.627619018425868e-06,-2.3332413678151623e-06,-8.185378219583423e-06,-2.4794446743530963e-06,6.177942043261234e-06,-7.900813895449566e-07,7.539249340659272e-06,-1.8121510430810545e-05
1,Griewank Function,1.0137859046065008,500,500,0.3008849354318769,0.013785904606500754,-0.025229328762296662,-0.01934742846428262,-0.014913754849099375,-0.062362505005075064,0.050428407944451636,0.05969342710657638,-0.0951581023606527,0.28894319097469956,-0.12862883397565394,-0.3008849354318769
2,Griewank Function,1.0000000031066718,500,500,0.00014037084191900412,3.1066718086947276e-09,1.531171787424158e-05,2.8513923847371633e-05,-2.4476968507140684e-05,-2.9745632725243314e-05,-8.880662141039653e-06,-4.103548278444762e-05,-2.5613561676433025e-05,0.00014037084191900412,-5.707446500831544e-05,-0.00012274365026137358
3,Griewank Function,1.1925865243651628,500,500,5.282620642441036,0.19258652436516277,3.1103532171688246,-6.761758593002721e-07,5.282620642441036,-6.318412647674801e-07,-5.822739583982743e-07,-3.069081829500451e-07,-4.932280551591503e-07,3.961308089897206e-07,2.6473186739990613e-07,1.1394931374469338e-06
4,Griewank Function,1.0000002003124422,500,500,0.0011265437821189198,2.0031244218898792e-07,-0.00015993435221806632,-0.0001029970624449655,-0.00038446404933796134,0.0005196377587651355,-0.0003216928290774199,-0.00029003483374555263,-8.824666055997846e-05,-0.0011265437821189198,-9.585361686358096e-05,0.0005892959021448025
5,Griewank Function,1.0000000089887133,500,500,0.0002176580176862506,8.98871332921658e-09,4.6856903836449626e-05,-2.3676618344324672e-05,0.00013929571728877883,3.192550287102195e-05,3.052436254426547e-05,3.664854067914801e-05,-1.0880303682102749e-05,0.0002176580176862506,0.00011583313383777197,2.620682126114603e-05
6,Griewank Function,1.000000028134897,500,500,0.00032135888879995464,2.8134897078757604e-08,0.00010350308581359531,6.665929523505918e-05,-0.00011069121313118805,9.594564636636067e-05,-0.00022711493098004245,0.00016734731379476237,-0.00011142609798425431,-0.00013311122364780632,0.00020629327138848306,0.00032135888879995464
7,Griewank Function,1.1456193111035926,500,500,4.355147602550332,0.1456193111035926,3.1105328428469723,4.355147602550332,-0.0006550568716429243,0.0009389612043433323,0.0011048361895799675,0.0009739396978873946,-0.00031328326999959227,0.0006159123877086143,0.0012119367153876383,-0.0005966286086877479
8,Griewank Function,1.0000000037631014,500,500,0.00012350928935746185,3.763101386056178e-09,-5.053958972727935e-05,6.176993172902585e-06,-1.850254368576105e-05,-5.5597332908154456e-05,-9.72124204607318e-06,-8.175625121666121e-05,-1.4761988872817754e-05,-8.937636595438104e-05,-1.1249888840098271e-05,0.00012350928935746185
9,Griewank Function,1.0000000013608283,500,500,8.23008033910524e-05,1.360828338903275e-09,-1.6229447180113553e-06,-2.7282524263380552e-05,3.1024392673156916e-05,-1.3955305195327978e-05,6.329171494371033e-05,1.9141392213119874e-05,8.23008033910524e-05,-9.120398384161893e-06,6.292482509070398e-06,-2.923043767801475e-06
10,Griewank Function,1.0000000039338244,500,500,0.00014147470993994634,3.933824377355677e-09,-3.084536863431751e-05,4.815377548567849e-05,2.0993275285733743e-05,3.0059694951868978e-05,9.156001275823126e-05,-8.496547225029426e-05,-1.9679540447871608e-05,-9.204774937692726e-06,-1.5663530220434713e-05,0.00014147470993994634
11,Griewank Function,1.0000000000076579,500,500,4.564098640400389e-06,7.65787433465448e-12,-1.4685914744013386e-06,2.151909376914361e-06,-1.3972573486356627e-06,4.564098640400389e-06,-4.06941158013703e-06,-9.833876160329754e-07,3.6837334045938684e-07,1.869399992788599e-06,-1.0347907353212821e-06,-1.95139696724339e-06
