,problem,f_val_opt,f_evals,comp_budget,success_crit_x,success_crit_f,6,7,8,9,10,11,12,13,14,15
0,Griewank Function,1.0000000000746245,500,500,1.3479565734490505e-05,7.46245287785996e-11,-5.026454861952695e-06,-4.71657702147561e-06,-1.227455904563094e-05,2.3444667382323966e-06,4.877533945762349e-06,-1.3479565734490505e-05,-3.248596954386249e-06,7.106993629110812e-06,1.755583845921729e-07,-1.1158577732936595e-05
1,Griewank Function,1.0000006487060533,500,500,0.0019786131469063497,6.487060533189037e-07,-1.4402912054858994e-05,6.988293265231675e-05,0.0006648014074383359,-0.00012721628121561425,-0.0006520551436166981,-0.0011327254807573374,0.00031317513889307473,0.001265996287540162,0.0011522595726099157,-0.0019786131469063497
2,Griewank Function,1.0000000000746245,500,500,1.3479565734490505e-05,7.46245287785996e-11,-5.026454861952695e-06,-4.71657702147561e-06,-1.227455904563094e-05,2.3444667382323966e-06,4.877533945762349e-06,-1.3479565734490505e-05,-3.248596954386249e-06,7.106993629110812e-06,1.755583845921729e-07,-1.1158577732936595e-05
3,Griewank Function,1.0000000000746245,500,500,1.3479565734490505e-05,7.46245287785996e-11,-5.026454861952695e-06,-4.71657702147561e-06,-1.227455904563094e-05,2.3444667382323966e-06,4.877533945762349e-06,-1.3479565734490505e-05,-3.248596954386249e-06,7.106993629110812e-06,1.755583845921729e-07,-1.1158577732936595e-05
4,Griewank Function,1.000000000529219,500,500,3.180076373967377e-05,5.292188909322704e-10,-1.2351986938304116e-05,1.8437721835087603e-05,2.097578251569664e-05,3.180076373967377e-05,2.4715946485567638e-05,4.1265462887178e-06,2.724605125439106e-05,1.5773466549157393e-05,2.9479504998299962e-06,-1.847939363557605e-05
5,Griewank Function,1.0000000000011355,500,500,2.388300821219664e-06,1.1355361095866101e-12,-2.310713355062015e-08,1.187666861026614e-06,-4.5284472228116237e-07,-9.498092552154178e-07,-2.924937168327109e-07,-1.6534812213464732e-06,-2.0100242933174435e-07,-4.775801741226518e-07,-2.388300821219664e-06,-4.0247427609299017e-07
6,Griewank Function,1.0000000000746245,500,500,1.3479565734490505e-05,7.46245287785996e-11,-5.026454861952695e-06,-4.71657702147561e-06,-1.227455904563094e-05,2.3444667382323966e-06,4.877533945762349e-06,-1.3479565734490505e-05,-3.248596954386249e-06,7.106993629110812e-06,1.755583845921729e-07,-1.1158577732936595e-05
7,Griewank Function,1.0000000006241172,500,500,5.707098954287206e-05,6.2411720236355e-10,3.5688561511645003e-06,-1.306185177944748e-05,1.200412398642306e-05,-1.4755469653866474e-06,2.423935592154539e-05,1.9576258828645637e-05,-2.8331881922835125e-05,-5.707098954287206e-05,-1.3948205161433451e-06,5.596982904316694e-05
8,Griewank Function,1.0000000000746245,500,500,1.3479565734490505e-05,7.46245287785996e-11,-5.026454861952695e-06,-4.71657702147561e-06,-1.227455904563094e-05,2.3444667382323966e-06,4.877533945762349e-06,-1.3479565734490505e-05,-3.248596954386249e-06,7.106993629110812e-06,1.755583845921729e-07,-1.1158577732936595e-05
9,Griewank Function,1.0000000000746245,500,500,1.3479565734490505e-05,7.46245287785996e-11,-5.026454861952695e-06,-4.71657702147561e-06,-1.227455904563094e-05,2.3444667382323966e-06,4.877533945762349e-06,-1.3479565734490505e-05,-3.248596954386249e-06,7.106993629110812e-06,1.755583845921729e-07,-1.1158577732936595e-05
10,Griewank Function,1.0000000000746245,500,500,1.3479565734490505e-05,7.46245287785996e-11,-5.026454861952695e-06,-4.71657702147561e-06,-1.227455904563094e-05,2.3444667382323966e-06,4.877533945762349e-06,-1.3479565734490505e-05,-3.248596954386249e-06,7.106993629110812e-06,1.755583845921729e-07,-1.1158577732936595e-05
