,problem,f_val_opt,f_evals,comp_budget,success_crit_x,success_crit_f,6,7,8,9,10,11,12,13,14,15
0,Griewank Function,1.0000000000005154,500,500,1.60524239665678e-06,5.153655280309977e-13,2.4394583997207693e-07,4.254349152620879e-07,-1.1515034353174449e-07,1.5575426055687487e-07,1.2730871735886389e-06,-3.852986927542112e-07,-1.60524239665678e-06,8.577754595393475e-07,-2.0820482732129464e-07,1.452485414016968e-07
1,Griewank Function,1.000000000000321,500,500,8.277885521185136e-07,3.2107649872159527e-13,-6.793383027320442e-07,7.3574733795311e-08,-1.8265943061393103e-07,-3.276752676281999e-07,1.3756750024393937e-07,1.0053531645895763e-07,8.277885521185136e-07,-8.836201750897489e-08,2.532610775703161e-08,-4.5086319851439497e-07
2,Griewank Function,1.0000000000155325,500,500,7.772831422267442e-06,1.553246420371579e-11,2.5799102365617005e-06,2.8668195275341377e-06,7.130633708817049e-07,-2.0064737551914103e-06,-3.887146118564221e-06,5.711583940875939e-06,-1.5398080234335127e-07,7.772831422267442e-06,1.8502048057661024e-06,3.5912753384817923e-06
3,Griewank Function,1.0000000000966818,500,500,1.6657046827673493e-05,9.668177369803743e-11,8.727279525984702e-06,7.700066271751938e-07,2.473209875406358e-06,1.6657046827673493e-05,2.6624811643318525e-06,4.60981083556144e-06,-1.141584773767054e-05,-7.004243039056099e-06,-4.79577817841185e-06,-8.159304152649834e-06
4,Griewank Function,1.0000000000003388,500,500,1.622744859211574e-06,3.388400671155978e-13,1.2361273639800734e-07,8.648928833670506e-08,-2.6811770803856503e-08,-2.2811048941676554e-07,-4.557574015840678e-07,1.074920018910477e-06,-4.008223123017632e-07,5.630164203909138e-07,-1.622744859211574e-06,-3.16575588973774e-07
5,Griewank Function,1.0000000002904847,500,500,3.9462786023475836e-05,2.9048474736725893e-10,-2.6963970274581945e-06,-2.9971982702244897e-06,-3.5622457429185247e-06,4.75956772469104e-06,8.63612771474407e-06,-2.2806953831224482e-05,3.9462786023475836e-05,8.267342850938802e-06,1.946154452542449e-05,3.791099786135971e-05
6,Griewank Function,1.0000000000029599,500,500,1.8318046248636566e-06,2.9598545836506673e-12,-1.8318046248636566e-06,-1.0817426184589101e-06,1.772567738176453e-06,-2.738032414199017e-07,1.4305976068862094e-06,-4.139014063747128e-07,3.8687336017724057e-07,1.1889415501348452e-06,-8.476015039251508e-07,-8.246482982849299e-07
7,Griewank Function,1.0000000000735154,500,500,1.7726178391100014e-05,7.351541597699907e-11,2.500888768132637e-07,-1.3817533509479904e-06,3.0502023321445856e-06,-2.664882514143059e-06,1.2032859404249816e-05,1.3358767794739235e-05,-1.2167144756001069e-05,-1.7726178391100014e-05,-8.940095724888196e-07,-1.1231005668080264e-05
8,Griewank Function,1.0000000000039888,500,500,4.1619078428856926e-06,3.9888092828732624e-12,1.650121712156607e-06,-1.2817123231694918e-07,-1.5034158875052988e-06,7.640492770710697e-07,7.244452089746095e-07,4.1619078428856926e-06,-2.309632109023828e-06,8.309008126228058e-07,-9.429378839768719e-07,-9.744948455820929e-07
9,Griewank Function,1.0000000000244564,500,500,1.0459306665657067e-05,2.4456436875652798e-11,-2.572147677062363e-06,7.380148759171778e-07,4.7038756913324367e-07,-1.2147678594928548e-06,-6.446774276896448e-06,-2.73969366238817e-06,1.0249188849695347e-06,7.793894492739462e-06,-1.0459306665657067e-05,-9.452890498320614e-06
10,Griewank Function,1.000000000041585,500,500,1.1512594122008427e-05,4.1584957699569713e-11,5.21280120081379e-07,5.706043526209032e-06,-2.243564282283084e-06,-9.828182395142734e-06,-9.439559570023705e-06,-3.0813254659974533e-06,-2.333360446519994e-06,3.946115228276412e-06,3.571507404212722e-06,-1.1512594122008427e-05
11,Griewank Function,1.0000000000000508,500,500,4.76838639573007e-07,5.084821452783217e-14,1.9638453603210494e-07,1.2283612620709742e-07,8.596747207969027e-08,-1.294541720008181e-07,-1.5902162283096535e-07,2.0930854130976708e-08,-2.253267734866053e-07,-3.1586144899862255e-08,2.837116996942866e-07,-4.76838639573007e-07
12,Griewank Function,1.000000000001057,500,500,2.2524345375866784e-06,1.056932319443149e-12,-2.2757283538167483e-07,1.7145562675426986e-07,-8.805073591234305e-07,1.4500131654361649e-06,2.79734355562579e-07,1.0965569813193671e-06,-9.68371428642571e-07,6.763286074170099e-07,1.412140073175172e-06,-2.2524345375866784e-06
13,Griewank Function,1.0000000000001812,500,500,6.759214156145208e-07,1.8118839761882555e-13,-3.6149383522468336e-07,-1.390280183144956e-07,-9.600643630932284e-08,-1.4386969366014132e-08,4.3935738325742567e-07,-6.069454374477007e-07,-5.562960180548754e-07,-1.2998611363458284e-07,-3.0460675391839653e-07,-6.759214156145208e-07
14,Griewank Function,1.0000000001110672,500,500,3.3625135026105664e-05,1.1106715547271051e-10,2.4359519606882035e-06,2.6470600225128307e-06,6.992427154343835e-06,5.33204503373974e-06,7.466231922484216e-06,1.0948325584173745e-05,1.0586743884095855e-05,-6.223335324521464e-06,-8.511507677942397e-06,3.3625135026105664e-05
15,Griewank Function,1.000000000068235,500,500,1.581117887377225e-05,6.82349732272769e-11,4.582108652158452e-06,6.601337919667139e-06,1.2584778494926076e-06,-1.1822765920751802e-05,4.742832639810883e-06,-8.37360594820395e-06,-5.145906941737591e-07,6.091628828630117e-06,1.581117887377225e-05,5.811783145174618e-06
16,Griewank Function,1.000000001167931,500,500,6.526192651372736e-05,1.1679310851775426e-09,-3.302150189432339e-06,2.183062166378292e-05,5.6419655411168944e-05,-1.9399483626629597e-06,1.1780667886893956e-05,1.3723934163690749e-05,-5.109935508065361e-05,-8.3628736705866e-06,6.526192651372736e-05,3.170764803504048e-06
17,Griewank Function,1.0000000000001434,500,500,6.520529106662499e-07,1.4344081478157023e-13,2.621206938918011e-07,2.2373548269861942e-07,-1.6614265592124264e-07,-3.888143232911527e-07,-6.520529106662499e-07,-2.2439540324930114e-07,4.2493477160267027e-07,2.3280932136592485e-07,-2.3966124664686957e-07,-1.645830114720379e-07
18,Griewank Function,1.0000000000529503,500,500,1.4633771768942821e-05,5.295031080265744e-11,3.562417919542119e-06,-2.8713108112508826e-06,-9.472065212495904e-07,4.03953070642953e-06,-1.0666678538701859e-05,1.0730469372034696e-05,1.4633771768942821e-05,-5.6292405176576835e-06,-4.720300985303134e-06,-1.8633643988842554e-06
19,Griewank Function,1.0000000000003757,500,500,1.6928617270395718e-06,3.7569947153315297e-13,-3.241912786105524e-08,-5.569792151397406e-08,-9.171056854221301e-07,-1.8708580249299735e-07,7.044930978063393e-07,1.0537168742392477e-07,2.623109680983492e-07,3.702003757219997e-07,-6.715231350402281e-08,-1.6928617270395718e-06
20,Griewank Function,1.0000000000004525,500,500,2.088454388157299e-06,4.525269048372138e-13,7.295158378342003e-08,1.523812384004978e-07,-6.554207240161909e-07,-1.8879074001121807e-07,-2.6312181832537163e-07,-1.8216288345056707e-07,6.435094110559173e-07,1.878038960951725e-07,-1.1605164255679728e-06,-2.088454388157299e-06
21,Griewank Function,1.0000000000302016,500,500,1.0019614799323057e-05,3.020161898348306e-11,2.0771940268346548e-06,1.9099788436578587e-06,6.068469164647436e-06,-5.390288817390235e-06,6.6378212829428435e-06,-1.3574324375095676e-06,5.486260149031662e-06,3.956110812787726e-06,7.410997712186104e-06,1.0019614799323057e-05
22,Griewank Function,1.000000000049876,500,500,1.505242179801738e-05,4.987610324747038e-11,-6.155155739865799e-07,-1.3293774379634472e-06,1.9143992982701244e-06,-7.057859972341436e-06,7.087162915865709e-06,-1.505242179801738e-05,-5.455636762644828e-06,4.038457848767501e-06,-1.3269529192712293e-05,7.138921331378713e-06
23,Griewank Function,1.0000000000029385,500,500,2.8197145260419915e-06,2.9385383015778643e-12,-1.0365618452799028e-06,-2.08746035098278e-06,4.5166271581482215e-08,-1.1153328060791569e-06,-4.72156893308408e-07,2.8197145260419915e-06,-5.738899815083389e-07,-1.6085000988534938e-07,2.2573728314691038e-06,-1.0553720162630832e-06
24,Griewank Function,1.0000000000863551,500,500,1.3415730044541922e-05,8.6355145256789e-11,-5.092854289580887e-06,-1.3415730044541922e-05,3.004458451495211e-06,3.5025536696157333e-07,-5.7209431074439684e-06,7.799530145614251e-06,-1.129776950798162e-05,8.306834536230792e-06,-2.4908549863968258e-06,-6.320096129779268e-06
25,Griewank Function,1.000000000031316,500,500,1.0050000641853585e-05,3.131606085560179e-11,-3.637052995148946e-06,2.6869161820507573e-06,-1.5643340402121642e-06,6.811354667627758e-06,-5.1358190349441116e-08,-1.0050000641853585e-05,5.871163657402527e-06,5.578940787085203e-06,9.793617350762974e-07,6.912239942393904e-06
26,Griewank Function,1.0000000002447536,500,500,3.669203490178195e-05,2.447535507599241e-10,4.279460295783447e-06,6.961849634521043e-06,-2.0121306131113897e-05,1.8902015594993165e-05,3.290099840585998e-06,1.1138457314251416e-05,-2.429618209341786e-06,-3.669203490178195e-05,4.807829020728202e-06,6.570503664768717e-06
27,Griewank Function,1.0000000000370464,500,500,1.210111848285426e-05,3.7046365974902074e-11,-9.292354753428467e-07,2.732629342284125e-06,-3.7038024528972993e-06,7.935087593182812e-06,-8.696437251289364e-06,1.9967058548332917e-07,4.977668260864345e-06,-4.3510220230341594e-06,9.082626566832125e-06,1.210111848285426e-05
